# lambda(nm)  coeff spline
 1272.000 0.00017168    -2.0850e-04
 1273.000 0.00015504     9.4780e-05
 1274.000 0.00016764     4.8216e-06
 1275.000 0.00018033    -1.1353e-04
 1276.000 0.00014217     1.4418e-04
 1277.000 0.00017049    -6.4333e-05
 1278.000 0.00016839    -6.9373e-05
 1279.000 0.00012928     1.1977e-04
 1280.000 0.00014146    -1.0195e-04
 1281.000 0.00014935     2.6230e-04
 1282.000 0.00023964    -4.5284e-04
 1283.000 0.00012995     3.4918e-04
 1284.000 0.00016032    -1.0354e-04
 1285.000 0.00016625    -8.1682e-05
 1286.000 0.00013375     1.9968e-04
 1287.000 0.00019265    -1.6866e-04
 1288.000 0.00017295     3.3390e-06
 1289.000 0.00014454     1.0304e-04
 1290.000 0.00017260    -7.6679e-05
 1291.000 0.00017487     4.8937e-05
 1292.000 0.00017791    -1.1445e-04
 1293.000 0.00013690     1.4456e-04
 1294.000 0.00013868    -2.0705e-04
 1295.000 0.00009166     3.9085e-04
 1296.000 0.00018846    -4.9343e-04
 1297.000 0.00010111     4.7798e-04
 1298.000 0.00018718    -3.7796e-04
 1299.000 0.00013018     1.7544e-04
 1300.000 0.00012573    -8.5131e-06
 1301.000 0.00014154    -1.9831e-05
 1302.000 0.00013751    -3.1202e-05
 1303.000 0.00011641     4.2220e-05
 1304.000 0.00011283    -3.2560e-05
 1305.000 0.00009164    -1.7642e-05
 1306.000 0.00007962     1.5815e-04
 1307.000 0.00014718    -1.3746e-04
 1308.000 0.00015403     2.7452e-05
 1309.000 0.00013495    -1.2792e-04
 1310.000 0.00007741     2.5348e-04
 1311.000 0.00015808    -5.6749e-05
 1312.000 0.00020110    -2.5239e-04
 1313.000 0.00012067     3.2560e-04
 1314.000 0.00016712    -2.8874e-04
 1315.000 0.00011635     2.4604e-04
 1316.000 0.00015398    -1.6503e-04
 1317.000 0.00012874     3.6851e-05
 1318.000 0.00010513     2.7404e-05
 1319.000 0.00012060     8.8014e-05
 1320.000 0.00017404    -1.5164e-04
 1321.000 0.00016282     1.3058e-04
 1322.000 0.00017518    -2.2922e-04
 1323.000 0.00012088     3.8633e-04
 1324.000 0.00020810    -4.6698e-04
 1325.000 0.00010817     3.5868e-04
 1326.000 0.00015415    -9.2283e-05
 1327.000 0.00019601    -1.4268e-05
 1328.000 0.00018720    -1.5467e-04
 1329.000 0.00012089     2.8794e-04
 1330.000 0.00017826    -2.5499e-04
 1331.000 0.00014546     1.9102e-04
 1332.000 0.00017897    -1.1122e-04
 1333.000 0.00016701    -1.8945e-05
 1334.000 0.00012864     2.8544e-05
 1335.000 0.00011227     3.6768e-05
 1336.000 0.00013305     4.7284e-05
 1337.000 0.00016177    -1.7827e-04
 1338.000 0.00010396     1.4660e-04
 1339.000 0.00012868     8.7055e-05
 1340.000 0.00018713    -2.9244e-04
 1341.000 0.00012090     3.3462e-04
 1342.000 0.00018658    -2.5458e-04
 1343.000 0.00013584    -1.4838e-05
 1344.000 0.00007989     2.8267e-04
 1345.000 0.00015791    -3.1200e-04
 1346.000 0.00010282     1.6669e-04
 1347.000 0.00010272    -2.4814e-05
 1348.000 0.00012939     9.3188e-05
 1349.000 0.00016995    -2.6460e-04
 1350.000 0.00009486     2.7131e-04
 1351.000 0.00013765    -1.1335e-04
 1352.000 0.00013874    -6.8118e-05
 1353.000 0.00010666     1.8680e-04
 1354.000 0.00014627    -2.4894e-04
 1355.000 0.00008789     2.2100e-04
 1356.000 0.00011651    -1.1308e-04
 1357.000 0.00011191     3.1998e-05
 1358.000 0.00012357     8.2649e-05
 1359.000 0.00016465    -1.8607e-04
 1360.000 0.00011583     1.2224e-04
 1361.000 0.00012334     3.5089e-05
 1362.000 0.00016146    -7.8938e-05
 1363.000 0.00015502     1.3301e-05
 1364.000 0.00015329     5.3993e-05
 1365.000 0.00017041    -1.1617e-04
 1366.000 0.00014075     1.3002e-04
 1367.000 0.00015722    -1.2714e-04
 1368.000 0.00012697     9.8227e-05
 1369.000 0.00014041    -3.6257e-06
 1370.000 0.00015748    -6.1944e-05
 1371.000 0.00015174     1.1454e-04
 1372.000 0.00018091    -1.8677e-04
 1373.000 0.00014545     2.4474e-04
 1374.000 0.00018658    -3.3266e-04
 1375.000 0.00010659     3.5918e-04
 1376.000 0.00016431    -2.7781e-04
 1377.000 0.00011597     1.1569e-04
 1378.000 0.00010587     4.4479e-05
 1379.000 0.00013172    -7.7907e-05
 1380.000 0.00011991     4.1191e-05
 1381.000 0.00013001     4.4605e-05
 1382.000 0.00015786    -1.1311e-04
 1383.000 0.00014502     1.6370e-04
 1384.000 0.00017001    -3.1471e-04
 1385.000 0.00007834     3.9519e-04
 1386.000 0.00015587    -2.5084e-04
 1387.000 0.00014969     1.0589e-04
 1388.000 0.00015874    -8.1363e-05
 1389.000 0.00013359     1.4358e-05
 1390.000 0.00010978     3.1973e-05
 1391.000 0.00011665     4.1832e-05
 1392.000 0.00014114    -9.3580e-05
 1393.000 0.00010819    -1.2151e-05
 1394.000 0.00006641     8.9205e-05
 1395.000 0.00009568     8.1631e-05
 1396.000 0.00015108    -2.5895e-04
 1397.000 0.00008888     2.4856e-04
 1398.000 0.00012493    -1.4580e-04
 1399.000 0.00011626     6.6329e-05
 1400.000 0.00014356     9.6308e-05
 1401.000 0.00019812    -2.8800e-04
 1402.000 0.00013861     3.7127e-04
 1403.000 0.00020752    -4.2657e-04
 1404.000 0.00010117     2.8347e-04
 1405.000 0.00012280     6.0594e-05
 1406.000 0.00018791    -2.6496e-04
 1407.000 0.00011551     1.7419e-04
 1408.000 0.00012700     7.1542e-05
 1409.000 0.00017124    -2.6386e-04
 1410.000 0.00009393     2.5459e-04
 1411.000 0.00013692    -3.2691e-05
 1412.000 0.00016494    -2.1364e-04
 1413.000 0.00009710     3.1210e-04
 1414.000 0.00014737    -3.2610e-04
 1415.000 0.00009691     3.8792e-04
 1416.000 0.00018152    -4.1517e-04
 1417.000 0.00010105     2.8228e-04
 1418.000 0.00012360    -9.5830e-05
 1419.000 0.00012848    -4.9818e-06
 1420.000 0.00011720     1.8797e-05
 1421.000 0.00012054     1.7515e-05
 1422.000 0.00013427    -2.6518e-05
 1423.000 0.00012691    -3.7984e-05
 1424.000 0.00011268     1.3724e-04
 1425.000 0.00016530    -1.0986e-04
 1426.000 0.00016863     6.4512e-06
 1427.000 0.00014747    -6.2888e-05
 1428.000 0.00010877     1.3986e-04
 1429.000 0.00013644    -9.8338e-05
 1430.000 0.00011604    -3.4928e-05
 1431.000 0.00007899     1.3815e-04
 1432.000 0.00011676    -6.8752e-05
 1433.000 0.00013896     4.3439e-05
 1434.000 0.00016973    -5.3582e-05
 1435.000 0.00017608     2.4369e-05
 1436.000 0.00016447    -1.5165e-04
 1437.000 0.00010411     2.8975e-04
 1438.000 0.00016857    -2.5843e-04
 1439.000 0.00013316     1.4473e-04
 1440.000 0.00014842    -1.6491e-05
 1441.000 0.00015716    -1.1789e-04
 1442.000 0.00011207     1.6507e-04
 1443.000 0.00015398    -2.0390e-05
 1444.000 0.00017844    -1.8821e-04
 1445.000 0.00011971     2.7409e-04
 1446.000 0.00017594    -2.1837e-04
 1447.000 0.00014156     5.5742e-05
 1448.000 0.00011573     4.6703e-05
 1449.000 0.00012331    -4.2096e-05
 1450.000 0.00010395    -3.9960e-05
 1451.000 0.00008245     1.8910e-04
 1452.000 0.00014564    -2.0828e-04
 1453.000 0.00013185     1.8215e-04
 1454.000 0.00015700    -2.8668e-04
 1455.000 0.00008768     3.9776e-04
 1456.000 0.00017822    -3.4521e-04
 1457.000 0.00012834     1.4054e-04
 1458.000 0.00012051     3.5343e-05
 1459.000 0.00014479    -8.9252e-05
 1460.000 0.00013715     1.3015e-04
 1461.000 0.00017681    -1.4753e-04
 1462.000 0.00014959     5.8691e-05
 1463.000 0.00013661    -1.7954e-06
 1464.000 0.00012700    -3.1289e-05
 1465.000 0.00011881     1.3547e-04
 1466.000 0.00015889    -2.2098e-04
 1467.000 0.00009596     1.3040e-04
 1468.000 0.00009787     8.8412e-05
 1469.000 0.00014618    -2.0565e-04
 1470.000 0.00009474     1.3569e-04
 1471.000 0.00010914     5.7932e-05
 1472.000 0.00015728    -1.6498e-04
 1473.000 0.00013724     1.9290e-04
