Lick_bg_nearIR	Lick_bg_nearIR
Infrared	Infrared
nm	nm
	
1035.04	79.998077
1035.14	2.800487
1035.24	5.681036
1035.34	2.747841
1035.4399	2.741428
1035.54	2.756728
1035.64	6.651629
1035.74	6.60945
1035.84	2.740963
1035.9399	2.739513
1036.04	2.738796
1036.14	2.738775
1036.24	2.738556
1036.34	2.738197
1036.4399	2.737837
1036.54	2.73729
1036.64	2.73675
1036.74	2.736357
1036.84	2.735807
1036.9399	2.735503
1037.04	2.735155
1037.14	2.734775
1037.24	2.73443
1037.34	2.734109
1037.4399	2.831879
1037.54	242.439743
1037.64	49.889835
1037.74	2.732867
1037.84	2.894035
1037.9399	3.149912
1038.04	2.732106
1038.14	2.73174
1038.24	2.731381
1038.34	2.731023
1038.4399	2.73066
1038.54	2.730176
1038.64	2.729846
1038.74	2.729566
1038.84	2.729039
1038.9399	2.728812
1039.04	2.72827
1039.14	2.728094
1039.24	2.727505
1039.34	2.727417
1039.4399	2.726758
1039.54	2.72672
1039.64	2.725987
1039.74	2.726006
1039.84	2.948118
1039.9399	109.822227
1040.04	2.877714
1040.14	2.724399
1040.24	2.724213
1040.34	2.723531
1040.4399	2.7235
1040.54	2.72376
1040.64	2.743043
1040.74	2.722429
1040.84	2.721879
1040.9399	2.724943
1041.04	2.80864
1041.14	2.722132
1041.24	2.720676
1041.34	2.720227
