# lambda(nm)  coeff spline
 1169.000 0.00018163    -1.7226e-04
 1170.000 0.00016002     8.9567e-05
 1171.000 0.00016069    -5.2331e-05
 1172.000 0.00016003     1.1178e-04
 1173.000 0.00019019    -2.0986e-04
 1174.000 0.00013058     1.8904e-04
 1175.000 0.00015601    -3.6047e-05
 1176.000 0.00016515    -1.4259e-04
 1177.000 0.00010112     1.6738e-04
 1178.000 0.00014795     1.3823e-04
 1179.000 0.00025755    -3.4368e-04
 1180.000 0.00018207     1.2600e-04
 1181.000 0.00013425     5.6357e-06
 1182.000 0.00013106     1.1924e-04
 1183.000 0.00017279    -2.1306e-04
 1184.000 0.00013481     2.5475e-04
 1185.000 0.00019805    -1.9863e-04
 1186.000 0.00016857    -1.6556e-05
 1187.000 0.00011387     1.1353e-04
 1188.000 0.00013087    -7.3714e-06
 1189.000 0.00016039    -8.9260e-06
 1190.000 0.00017687    -3.5165e-05
 1191.000 0.00016013    -4.9736e-05
 1192.000 0.00012218     1.0685e-04
 1193.000 0.00013912    -4.8316e-05
 1194.000 0.00014758     3.5538e-05
 1195.000 0.00015580    -9.5274e-05
 1196.000 0.00013039     1.4378e-04
 1197.000 0.00016499    -1.1978e-04
 1198.000 0.00014596     1.3564e-05
 1199.000 0.00013109     9.0484e-05
 1200.000 0.00017277    -3.6199e-05
 1201.000 0.00018467    -1.2437e-04
 1202.000 0.00013114     1.4110e-04
 1203.000 0.00013581    -9.0816e-05
 1204.000 0.00011405     6.3587e-05
 1205.000 0.00013081     6.7587e-05
 1206.000 0.00015641    -2.8090e-04
 1207.000 0.00006764     3.6978e-04
 1208.000 0.00015629    -1.3370e-04
 1209.000 0.00019428    -1.3893e-04
 1210.000 0.00013921     1.3105e-04
 1211.000 0.00015608     4.6350e-05
 1212.000 0.00018980    -2.1535e-04
 1213.000 0.00013069     2.5809e-04
 1214.000 0.00017700    -1.8448e-04
 1215.000 0.00015168     5.0049e-05
 1216.000 0.00013899     6.0062e-05
