# lambda(nm)  coeff spline
 1078.800 0.99975097    -7.1279e-04
 1079.300 0.99964601    -4.1922e-03
 1079.800 0.99878299    -7.0992e-04
 1080.300 0.99797601     8.3736e-03
 1080.800 0.99834198    -4.6297e-03
 1081.300 0.99841100     3.0209e-03
 1081.800 0.99885798     1.6215e-03
 1082.300 0.99955201    -3.5786e-03
 1082.800 0.99933100    -9.2630e-03
 1083.310 0.99769902     7.7559e-03
 1083.810 0.99734902     8.1168e-03
 1084.310 0.99844801    -5.4486e-03
 1084.810 0.99896902    -1.8710e-04
 1085.310 0.99860102    -1.5145e-02
 1085.810 0.99571598     3.5300e-04
 1086.310 0.99359798     3.2147e-02
 1086.810 0.99635500    -1.1939e-02
 1087.310 0.99830401    -3.7973e-03
 1087.810 0.99901599    -2.5626e-03
 1088.310 0.99897999    -3.8975e-03
 1088.810 0.99816000    -6.6986e-04
 1089.320 0.99727899     5.4484e-03
 1089.820 0.99678200    -1.2523e-02
 1090.320 0.99527103     2.0300e-02
 1090.820 0.99674898     3.0717e-03
 1091.320 0.99908000    -1.2126e-02
 1091.820 0.99842101    -2.6326e-02
 1092.320 0.99337202     1.2056e-02
 1092.820 0.99106997     4.4025e-02
 1093.320 0.99565297    -2.2952e-02
 1093.820 0.99775201    -1.1833e-02
 1094.320 0.99661398    -7.4141e-03
 1094.820 0.99457800     1.9939e-02
 1095.330 0.99470502    -2.0864e-02
 1095.830 0.99291402     1.7976e-02
 1096.330 0.99398899     1.7726e-02
 1096.830 0.99756300    -2.8885e-02
 1097.330 0.99654502    -1.2424e-02
 1097.830 0.99330401     2.5247e-02
 1098.330 0.99350703    -5.9348e-03
 1098.830 0.99300897    -1.8343e-02
 1099.330 0.98936898     3.8941e-03
 1099.830 0.98715597     3.7017e-02
 1100.330 0.99005902    -2.9180e-02
 1100.830 0.99021900     1.3846e-02
 1101.340 0.99070102    -1.8885e-02
 1101.840 0.98863697     1.2806e-03
 1102.340 0.98649502     1.1901e-02
 1102.840 0.98675603     8.7869e-03
 1103.340 0.98874301    -5.6398e-03
 1103.840 0.98853999    -3.8789e-02
 1104.340 0.98410302     5.9161e-02
 1104.840 0.98726201    -1.5596e-02
 1105.340 0.98877299    -3.6326e-02
 1105.840 0.98367298     2.2054e-03
 1106.340 0.97990501     5.9480e-02
 1106.840 0.98588997    -6.0435e-03
 1107.350 0.99059802    -6.6617e-02
 1107.850 0.98368597    -1.3636e-03
 1108.350 0.97612399     5.6505e-02
 1108.850 0.97859699     1.6159e-02
 1109.350 0.98519498    -2.2133e-02
 1109.850 0.98596698    -6.7429e-02
 1110.350 0.97431499    -6.3875e-03
 1110.850 0.96070999     4.6156e-02
 1111.350 0.95830202     9.0463e-02
 1111.850 0.97091001    -4.7589e-02
 1112.350 0.97250700    -1.6445e-01
 1112.850 0.94583702     2.6965e-02
 1113.360 0.92372203     1.7187e-01
 1113.860 0.93582898     8.9000e-02
 1114.360 0.95504397    -3.5726e-01
 1114.860 0.92028302     4.4995e-02
 1115.360 0.89128900     3.1548e-01
 1115.860 0.89391297    -5.4775e-01
 1116.360 0.83121699     3.0783e-01
 1116.860 0.81030703     3.1928e-01
 1117.360 0.85503298    -9.6833e-03
 1117.860 0.89813203    -3.1959e-01
 1118.360 0.88114798    -1.5395e-01
 1118.860 0.83421099     2.1652e-01
 1119.370 0.82525700     1.9120e-01
 1119.870 0.84738702    -2.5149e-01
 1120.370 0.85006899     3.4802e-01
 1120.870 0.88422400    -3.8522e-01
 1121.370 0.85856098    -2.4276e-01
 1121.870 0.77613598    -6.0114e-03
 1122.370 0.71459001     7.6791e-01
 1122.870 0.77216500    -2.0671e-01
 1123.370 0.81037301    -4.0588e-01
 1123.870 0.80416900     7.6433e-01
 1124.370 0.88379902    -5.9142e-01
 1124.870 0.86650503    -7.2484e-01
 1125.380 0.73450500     8.1274e-01
 1125.880 0.73105800     4.7892e-01
 1126.380 0.82987499    -2.7409e-01
 1126.880 0.88176203    -5.0886e-01
 1127.380 0.84128898     9.2902e-02
 1127.880 0.81009102     3.5985e-01
 1128.380 0.83427799    -2.0282e-01
 1128.880 0.83595097    -8.8972e-02
 1129.380 0.81328201    -2.5401e-02
 1129.880 0.80491102     5.3373e-01
 1130.380 0.88053399    -9.3647e-02
 1130.880 0.94910902    -3.2829e-01
 1131.390 0.95760298    -2.5491e-02
 1131.890 0.94370401    -9.5583e-02
 1132.390 0.91577202     7.1029e-02
 1132.890 0.88305300    -3.0342e-01
 1133.390 0.80991000     1.7195e-01
 1133.890 0.73770100    -3.6111e-01
 1134.390 0.61955202     1.6963e-01
 1134.890 0.57206202     1.3784e+00
 1135.390 0.72929001    -7.7006e-01
 1135.890 0.81383699    -4.2521e-02
 1136.390 0.87045002     2.6973e-01
 1136.890 0.94580001    -5.8671e-01
 1137.400 0.93683702     7.9708e-02
 1137.900 0.91427398    -5.4192e-02
 1138.400 0.89824498     2.9383e-01
 1138.900 0.92865300    -6.7280e-03
 1139.400 0.95334202    -4.0406e-01
 1139.900 0.92131603     2.6182e-01
 1140.400 0.90799302    -1.9434e-01
 1140.900 0.88163602     2.0273e-01
 1141.400 0.88423699     7.8422e-02
 1141.900 0.90777999    -1.3635e-02
 1142.400 0.93395197     3.8930e-02
 1142.900 0.95742702    -2.0667e-01
 1143.410 0.93468702    -2.9677e-01
 1143.910 0.86177599     1.9542e-01
 1144.410 0.82292098     3.3197e-01
 1144.910 0.84134799    -1.4854e-01
 1145.410 0.85228699     8.2477e-02
 1145.910 0.86133897    -2.2676e-01
 1146.410 0.83389997    -5.1085e-02
 1146.910 0.79932600     2.5969e-01
 1147.410 0.82078600     3.5711e-01
 1147.910 0.89949501    -3.1425e-01
 1148.410 0.92764401    -3.1361e-01
 1148.910 0.89563501     1.2483e-01
 1149.420 0.86697900    -9.5002e-02
 1149.920 0.85048801     5.3495e-01
 1150.420 0.90318298    -3.8385e-01
 1150.920 0.91508102     2.1054e-02
 1151.420 0.91221398    -5.4579e-02
 1151.920 0.89173597    -2.2560e-01
 1152.420 0.84890503     4.2078e-01
 1152.920 0.87417197     1.7644e-01
 1153.420 0.92497802    -5.1336e-01
 1153.920 0.90709198     2.2817e-01
 1154.420 0.91097599     1.2307e-01
 1154.920 0.93470401    -2.4404e-01
 1155.430 0.92460102     5.4366e-02
 1155.930 0.92192298     2.0266e-01
 1156.430 0.95043302    -1.1664e-01
 1156.930 0.96270198    -1.2591e-01
 1157.430 0.95014900     2.4508e-02
 1157.930 0.94259602     1.4782e-01
 1158.430 0.95337301    -1.7578e-01
 1158.930 0.94700599     1.4372e-01
 1159.430 0.95465899    -6.2715e-02
 1159.930 0.95578700    -4.9452e-02
 1160.430 0.95200199     1.4257e-01
 1160.930 0.96730900    -6.2748e-02
 1161.440 0.97601300    -5.0538e-02
 1161.940 0.97320998    -3.9318e-03
 1162.440 0.97226298     1.1081e-01
 1162.940 0.98553097    -9.8264e-02
