																												Custom Scientific,BS1				Custom Scientific, BS4				Newport AR.14		Melles Griot BBDS		Melles Griot single layer MGF2		Optimax XBBAR	
FSS99_106_45		FSS99_500_0		NaHG		Ag1		Aluminum		X1_Silver		Gold		Bare Gold		AR_Vis		AR		ARIR		Cold Stop		DM Window		ALPAO		TT-LGS,refl		TT-LGS,trans		WFS,trans		WFS, refl				high reflectivity		AR coating		AR coating	
Wvl. (um)       Refl. (%)		Wvl. (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μm)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μ)	Refl (%)	Wvl (μm)	Trans %	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wv (μm)	Trans %	Wv (μm)	Refl %	Wvl 	Refl	Wvl	Trans	Wvl	Trans	Wvl	Refl	Wvl	Trans	wvl	refl	wvl	trans	wvl	trans
																																											
1.65	98.4589									0.651107	97.7193	2.04762	98.7261					1.460	98.62	2.700	99.70			2.493956	97.521	1.927344	99	0.954477	95.294	0.954477	4.706	0.568727	32.057	0.568727	67.943								
1.675	98.4178									0.657355	97.6842	2.09524	98.7261					1.480	98.68	2.750	99.70					1.935156	98.945	0.967223	96.471	0.967223	3.529	0.571323	16.986	0.571323	83.014								
1.7	98.3624									0.66048	97.6842	2.14286	98.7261					1.500	98.75	2.800	99.70					1.950781	98.959	0.97997	95.294	0.97997	4.706	0.571323	6.938	0.571323	93.062								
1.725	98.307									0.666107	97.7193	2.19048	98.7261					1.520	98.82	2.850	99.70					1.9625	98.973	0.992716	90.882	0.992716	9.118	0.57911	2.871	0.57911	97.129								
1.75	98.2553									0.672357	97.7193	2.2381	98.7261					1.540	98.88	2.900	99.70					1.978125	98.973	1.005463	95.588	1.005463	4.412	0.586897	0.5	0.586897	99.5								
1.775	98.2199									0.678605	97.6842	2.28571	98.7261					1.560	98.95	2.950	99.70					2.001562	99	1.018209	97.353	1.018209	2.647	0.597281	0.478	0.597281	99.522								
1.8	98.1845									0.684855	97.6842	2.33333	98.7261					1.580	99.01	3.000	99.70					2.025	99.014	1.030956	96.176	1.030956	3.824	0.612855	0.00E+00	0.612855	100								
1.825	98.1359									0.691105	97.6842	2.38095	98.7261					1.600	99.08							2.060156	99.027	1.040516	95	1.040516	5	0.623239	0.239	0.623239	99.761								
1.85	98.074									0.697355	97.6842	2.42857	98.7261					1.620	99.14							2.099219	99.055	1.053262	96.471	1.053262	3.529	0.631026	0.00E+00	0.631026	100								
1.875	98.012									1.39	96	2.47619	98.7261					1.640	98.29							2.169531	99.096	1.059636	97.059	1.059636	2.941	0.649197	0.00E+00	0.649197	100								
1.9	97.9677									2	97.98	2.52381	98.7261					1.660	98.28							2.251562	99.137	1.072382	96.471	1.072382	3.529	0.669963	0.00E+00	0.669963	100								
1.925	97.9276											2.57143	98.7261					1.680	98.27							2.314062	99.192	1.081942	96.176	1.081942	3.824	0.698517	0.00E+00	0.698517	100								
1.95	97.8831																	1.700	98.26									1.101062	95	1.101062	5	0.706304	0.00E+00	0.706304	100								
1.975	97.833																	1.720	98.25									1.110622	95.882	1.110622	4.118	0.7089	0.957	0.7089	99.043								
2	97.7832																	1.740	98.23									1.123369	97.353	1.123369	2.647	0.711496	0.00E+00	0.711496	100								
2.025	97.7403																	1.760	98.22									1.132929	96.765	1.132929	3.235	0.721879	0.00E+00	0.721879	100								
2.05	97.6973																	1.780	98.21									1.142489	94.118	1.142489	5.882	0.729666	0.00E+00	0.729666	100								
2.075	97.6383																	1.800	98.20									1.152049	91.765	1.152049	8.235	0.729666	1.914	0.729666	98.086								
2.1	97.5764																	1.820	98.19									1.161608	94.412	1.161608	5.588	0.734858	0.239	0.734858	99.761								
2.125	97.5184																	1.840	98.18									1.174355	96.176	1.174355	3.824	0.760816	0.239	0.760816	99.761								
2.15	97.4826																	1.860	98.17									1.190288	96.471	1.190288	3.529	0.80754	0.239	0.80754	99.761								
2.175	97.4468																	1.880	98.16									1.212595	97.647	1.212595	2.353	0.872435	0.239	0.872435	99.761								
2.2	97.4109																	1.900	98.15									1.228528	95.588	1.228528	4.412	0.898393	0.239	0.898393	99.761								
2.225	97.3882																	1.920	98.14									1.238088	93.529	1.238088	6.471	0.913968	0.957	0.913968	99.043								
2.25	97.3681																	1.940	98.13									1.250835	95.588	1.250835	4.412	0.91916	3.589	0.91916	96.411								
2.275	97.3481																	1.960	98.12									1.269954	97.353	1.269954	2.647	0.921755	6.938	0.921755	93.062								
2.3	97.328																	1.980	98.10									1.279514	97.353	1.279514	2.647	0.924351	11.244	0.924351	88.756								
2.325	97.3102																	2.000	98.09									1.292261	95.882	1.292261	4.118	0.926947	16.507	0.926947	83.493								
2.35	97.3191																	2.020	98.08									1.308194	93.824	1.308194	6.176	0.926947	23.206	0.926947	76.794								
2.375	97.3279																	2.040	98.07									1.327314	96.176	1.327314	3.824	0.929543	28.469	0.929543	71.531								
2.4	97.3372																	2.060	98.06									1.346434	97.059	1.346434	2.941	0.932139	32.775	0.932139	67.225								
2.425	97.3473																	2.080	98.05									1.365554	97.941	1.365554	2.059	0.934734	36.124	0.934734	63.876								
2.45	97.3576																	2.100	98.04									1.3783	97.941	1.3783	2.059	0.93733	39.713	0.93733	60.287								
2.475	97.3898																	2.120	98.03									1.400607	99.118	1.400607	0.882	0.942522	46.172	0.942522	53.828								
2.5	97.4221																	2.140	98.02									1.422914	98.529	1.422914	1.471	0.945118	52.392	0.945118	47.608								
2.525	97.4486																	2.160	98.01									1.442033	99.706	1.442033	0.294	0.945118	61.005	0.945118	38.995								
2.55	97.4737																	2.180	98.00									1.4739	100	1.4739	0	0.945118	73.923	0.945118	26.077								
2.575	97.4912																	2.200	97.99									1.499393	99.412	1.499393	0.588	0.947713	85.407	0.947713	14.593								
2.6	97.5079																	2.220	97.97									1.508953	97.941	1.508953	2.059	0.950309	92.584	0.950309	7.416								
3	97.5																	2.240	97.96									1.515326	96.765	1.515326	3.235	0.952905	94.498	0.952905	5.502								
4	97.5																	2.260	97.95									1.524886	98.235	1.524886	1.765	0.955501	93.301	0.955501	6.699								
5	97.5																	2.280	97.94									1.534446	99.412	1.534446	0.588	0.965884	94.498	0.965884	5.502								
6	97.5																	2.300	97.93									1.547193	99.412	1.547193	0.588	0.973671	94.019	0.973671	5.98099999999999								
																		2.320	97.92									1.569499	98.824	1.569499	1.176	0.984054	94.258	0.984054	5.742								
																		2.340	97.91									1.585432	97.647	1.585432	2.353	0.991842	94.019	0.991842	5.98099999999999								
																		2.360	97.90									1.607739	98.529	1.607739	1.471	1.010012	94.019	1.010012	5.98099999999999								
																		2.380	97.89									1.633232	99.118	1.633232	0.882	1.0178	93.78	1.0178	6.22								
																		2.400	97.88									1.655539	97.941	1.655539	2.059	1.030779	94.258	1.030779	5.742								
																		2.420	97.87									1.665099	95.882	1.665099	4.118	1.043758	94.258	1.043758	5.742								
																		2.440	97.86									1.674659	92.941	1.674659	7.059	1.051545	93.78	1.051545	6.22								
																		2.460	97.85									1.687405	95.882	1.687405	4.118	1.059333	94.258	1.059333	5.742								
																		2.480	97.83									1.696965	97.941	1.696965	2.059	1.077503	94.258	1.077503	5.742								
																		2.500	97.82									1.722458	99.118	1.722458	0.882	1.090482	94.019	1.090482	5.98099999999999								
																												1.747951	98.529	1.747951	1.471	1.103461	93.78	1.103461	6.22								
																												1.760698	96.471	1.760698	3.529	1.121632	93.78	1.121632	6.22								
																												1.770258	96.471	1.770258	3.529	1.134611	94.258	1.134611	5.742								
																												1.779818	96.176	1.779818	3.824	1.152781	94.258	1.152781	5.742								
																												1.789378	97.647	1.789378	2.353	1.16576	94.019	1.16576	5.98099999999999								
																												1.802125	98.235	1.802125	1.765	1.189123	94.019	1.189123	5.98099999999999								
																												1.811684	97.059	1.811684	2.941	1.207293	93.541	1.207293	6.459								
																												1.824431	94.412	1.824431	5.588	1.241038	93.541	1.241038	6.459								
																												1.833991	96.765	1.833991	3.235	1.259209	94.019	1.259209	5.98099999999999								
																												1.843551	98.824	1.843551	1.176	1.282571	94.258	1.282571	5.742								
																												1.856297	99.412	1.856297	0.588	1.316317	94.019	1.316317	5.98099999999999								
																												1.90091	99.706	1.90091	0.294	1.34487	94.258	1.34487	5.742								
																												1.932777	99.118	1.932777	0.882	1.386403	94.019	1.386403	5.98099999999999								
																												1.95827	98.235	1.95827	1.765	1.453894	94.019	1.453894	5.98099999999999								
																												1.971017	96.765	1.971017	3.235	1.503214	94.258	1.503214	5.742								
																												1.983763	95.294	1.983763	4.706	1.534364	94.258	1.534364	5.742								
																												2.002883	97.353	2.002883	2.647	1.560322	94.019	1.560322	5.98099999999999								
																												2.018816	98.235	2.018816	1.765	1.599259	93.78	1.599259	6.22								
																												2.037936	97.353	2.037936	2.647	1.625217	94.258	1.625217	5.742								
																												2.047496	96.176	2.047496	3.824	1.666749	93.78	1.666749	6.22								
																												2.053869	95.588	2.053869	4.412	1.687516	93.78	1.687516	6.22								
																												2.066616	97.353	2.066616	2.647	1.726453	94.498	1.726453	5.502								
																												2.076176	98.824	2.076176	1.176	1.749815	94.737	1.749815	5.26300000000001								
																												2.101669	99.412	2.101669	0.588	1.788752	94.258	1.788752	5.742								
																												2.127163	99.118	2.127163	0.882	1.91335	94.498	1.91335	5.502								
																												2.146282	98.235	2.146282	1.765	1.975649	94.019	1.975649	5.98099999999999								
																												2.162216	97.647	2.162216	2.353	2.014586	94.258	2.014586	5.742								
																												2.178149	98.529	2.178149	1.471	2.069098	94.498	2.069098	5.502								
																												2.203642	99.412	2.203642	0.588	2.113226	94.019	2.113226	5.98099999999999								
																												2.238695	99.118	2.238695	0.882	2.14178	94.498	2.14178	5.502								
																												2.273748	97.941	2.273748	2.059	2.170334	94.737	2.170334	5.26300000000001								
																												2.292868	95.588	2.292868	4.412	2.235229	94.737	2.235229	5.26300000000001								
																												2.321548	94.412	2.321548	5.588	2.279357	94.258	2.279357	5.742								
																												2.353414	95	2.353414	5	2.349444	94.258	2.349444	5.742								
