#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     969.1400       2.956249
     969.2401       3.511300
     969.3400      11.481749
     969.4401       2.840370
     969.5399       2.961017
     969.6400       2.970449
     969.7401       2.905242
     969.8400       2.977013
     969.9401       2.978731
     970.0399       2.944750
     970.1400      14.820917
     970.2401      31.217388
     970.3400       2.839956
     970.4399       2.543037
     970.5399       2.968173
     970.6400       2.976427
     970.7401       2.969787
     970.8400       2.958101
     970.9401       2.977726
     971.0399       2.971615
     971.1400       2.804688
     971.2401       2.959631
     971.3400       3.018182
     971.4401      19.706310
     971.5400       2.977500
     971.6400       2.968172
     971.7401       2.752279
     971.8400       2.610020
     971.9401       2.956403
     972.0399       2.967268
     972.1400       2.989548
     972.2401      54.198914
     972.3400       3.576328
     972.4401       2.966876
     972.5399       2.764302
     972.6400       2.826660
     972.7401       2.740387
     972.8400       2.960636
     972.9401       2.936995
     973.0399       2.928487
     973.1400       2.945965
     973.2401       2.956724
     973.3400       2.755531
     973.4401       2.955345
     973.5399       2.962277
     973.6400       2.957649
     973.7401       3.082537
     973.8400       3.045031
     973.9401       2.515277
     974.0400      17.363094
     974.1400       6.775685
     974.2401       2.958648
     974.3400       2.953832
     974.4401       2.919141
     974.5399       2.859246
     974.6400       2.348147
     974.7401       3.294128
     974.8400       3.557566
     974.9401       3.384586
     975.0399       2.939852
     975.1400       2.747832
     975.2401       2.545140
     975.3400       2.951318
     975.4401       2.956185
     975.5399       2.939805
     975.6400       2.583636
     975.7401       2.925742
     975.8400       2.882888
     975.9401       2.909677
     976.0399       2.378170
     976.1400       2.883208
     976.2401       2.945537
     976.3400       2.952223
     976.4399       2.867260
     976.5400       2.568592
     976.6400       2.868941
     976.7401       2.907604
     976.8400       2.802414
     976.9401       2.952678
     977.0399       2.950624
     977.1400       2.881374
     977.2401       2.951527
     977.3400       2.953977
     977.4401       2.950184
     977.5399       2.948593
     977.6400       2.782682
     977.7401       2.912844
     977.8400       2.940689
     977.9401       2.829209
     978.0399       2.940973
     978.1400       2.896857
     978.2401       2.785751
